"filename", "language", "PHP", "Markdown", "JavaScript", "SCSS", "SVG", "CSS", "Less", "Django HTML", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Router.php", "PHP", 65, 0, 0, 0, 0, 0, 0, 0, 0, 22, 17, 104
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\SQL.php", "PHP", 138, 0, 0, 0, 0, 0, 0, 0, 0, 79, 19, 236
"c:\xampp\htdocs\demae-sample\app\lib\php\DB\Table.php", "PHP", 212, 0, 0, 0, 0, 0, 0, 0, 0, 30, 31, 273
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Cache.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Calender.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Cookie.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Country.php", "PHP", 577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 583
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\CreditCard.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 26, 9, 129
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Curl.php", "PHP", 132, 0, 0, 0, 0, 0, 0, 0, 0, 33, 28, 193
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Currency.php", "PHP", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 168
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Devices.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Email.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 313, 54, 369
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\File.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 109, 59, 436
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\FileHandler.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Functions.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 142
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Ini.php", "PHP", 57, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 71
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Mail.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 0, 0, 64, 25, 194
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Network.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Orientation.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Printer.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\README.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 22, 88
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\SMS.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Server.php", "PHP", 137, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 165
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Session.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 19, 19, 104
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Url.php", "PHP", 129, 0, 0, 0, 0, 0, 0, 0, 0, 79, 35, 243
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\WebSocket.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\demae-sample\app\lib\php\Res\Zip.php", "PHP", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 113
